,persona,tweet
0,Jair Bolsonaro,"Só para jamais cair no esquecimento: QUEM MANDOU MATAR JAIR BOLSONARO? Que foi um alinhado do PSOL, o auxiliar do PT, todos já sabemos, mas só.... Seria o objetivo cair no esquecimento como fizeram com Celso Daniel?"
1,Jair Bolsonaro,Cuba anuncia saída do programa Mais Médicos; decisão ocorreu depois de o presidente eleito Jair Bolsonaro ter dito que pretende modificar os termos do acordo: https://t.co/00klmTfosE https://t.co/F4Zg4N9per
2,Jair Bolsonaro,"Governadores pró-PT dos estados do Nordeste avaliam não participar de um encontro nesta quarta-feira com outros governadores eleitos.

O motivo? A presença do Presidente-eleito, Jair Bolsonaro.

Mais uma vez, o PT e seus aliados põem suas pirraças acima do interesse do Brasil."
3,Ciro Gomes,Mais uma pro Ciro Gomes compartilhar como se fosse verdade. 😂😂 https://t.co/lqwnwXA7kD
4,Ciro Gomes,"O Ciro Gomes citou meu tweet do ""paulo guedes privatizar cu de curioso"" e falou na globonews como se fosse verdade kkkkkkkkkkkkkkkkkkkkkk esse povo esquece de olhar as fontes... https://t.co/QmQnh2lOfn"
5,Henrique Meirelles,I liked a @YouTube video https://t.co/xalMRQHHhq Henrique Meirelles quer o cargo de Paulo Guedes!
6,Henrique Meirelles,Henrique Meirelles se impressiona com tecnologia em feira de antiguidades https://t.co/02frdL0c7k
7,Henrique Meirelles,"Henrique Meirelles (MDB), ex-ministro da Fazenda e candidato derrotado à Presidência https://t.co/Ijb7IVL9wd"
8,Henrique Meirelles,@AdrianoGianturc Henrique Meirelles e Joaquim Levy eram marxistas? Os governos do PT foram de centro
9,Henrique Meirelles,I liked a @YouTube video https://t.co/Y2DzFAvS0i Henrique Meirelles quer o cargo de Paulo Guedes!
10,Guilherme Boulos,"Monica não tem acento.

De Boulos já perdeu a graça.

E, sim, nós na Johns Hopkins criamos a bolsa Marielle Franco para alunos interessados em justiça social. 

""Credo"" é receber uma mensagem dessas. 👇🏼 https://t.co/D6BUm81cfm"
11,Guilherme Boulos,"@hobiout this!!! exatamente isso que você falou
por mim teria votado no boulos, mas como ele não tinha tanta popularidade política, decidi usar meu ""voto útil"" pra o ciro superar ambos os lados mais votados, porém...aqui estamos"
12,Guilherme Boulos,"@esquerdanao Agora, imagine o Haddad eleito:

- Maria do Rosario na Saúde
- Boulos Chanceler
- Ciro na Justiça
- Vanessa Graziottin na Defesa
- Lula na Casa Civil
- Zé Dirceu na Economia
- Dilma na Educação"
13,Guilherme Boulos,"Pessoas pelas quais tenho indescritível antipatia:

Gleisi Hoffmann, Renan Calheiros, Jucá, Lindbergh, Eunicio, Fátima Bezerra, Rodrigo Maia, Presidiário, Vicentino, Mercadante, Jean Wyllys, Vanessa Grazziotin, Requião, Dilma Rousseff, 'Bessias', Paulinho da Força, Boulos..."
Jair Bolsonaro,"Só para jamais cair no esquecimento: QUEM MANDOU MATAR JAIR BOLSONARO? Que foi um alinhado do PSOL, o auxiliar do PT, todos já sabemos, mas só.... Seria o objetivo cair no esquecimento como fizeram com Celso Daniel?"
Jair Bolsonaro,Cuba anuncia saída do programa Mais Médicos; decisão ocorreu depois de o presidente eleito Jair Bolsonaro ter dito que pretende modificar os termos do acordo: https://t.co/00klmTfosE https://t.co/F4Zg4N9per
Jair Bolsonaro,"Governadores pró-PT dos estados do Nordeste avaliam não participar de um encontro nesta quarta-feira com outros governadores eleitos.

O motivo? A presença do Presidente-eleito, Jair Bolsonaro.

Mais uma vez, o PT e seus aliados põem suas pirraças acima do interesse do Brasil."
Ciro Gomes,Mais uma pro Ciro Gomes compartilhar como se fosse verdade. 😂😂 https://t.co/lqwnwXA7kD
Ciro Gomes,"O Ciro Gomes citou meu tweet do ""paulo guedes privatizar cu de curioso"" e falou na globonews como se fosse verdade kkkkkkkkkkkkkkkkkkkkkk esse povo esquece de olhar as fontes... https://t.co/QmQnh2lOfn"
Henrique Meirelles,I liked a @YouTube video https://t.co/5ZCy5Pe8eg Henrique Meirelles quer o cargo de Paulo Guedes!
Henrique Meirelles,I liked a @YouTube video https://t.co/xalMRQHHhq Henrique Meirelles quer o cargo de Paulo Guedes!
Henrique Meirelles,Henrique Meirelles se impressiona com tecnologia em feira de antiguidades https://t.co/02frdL0c7k
Henrique Meirelles,"Henrique Meirelles (MDB), ex-ministro da Fazenda e candidato derrotado à Presidência https://t.co/Ijb7IVL9wd"
Henrique Meirelles,@AdrianoGianturc Henrique Meirelles e Joaquim Levy eram marxistas? Os governos do PT foram de centro
Guilherme Boulos,"Pessoas pelas quais tenho indescritível antipatia:

Gleisi Hoffmann, Renan Calheiros, Jucá, Lindbergh, Eunicio, Fátima Bezerra, Rodrigo Maia, Presidiário, Vicentino, Mercadante, Jean Wyllys, Vanessa Grazziotin, Requião, Dilma Rousseff, 'Bessias', Paulinho da Força, Boulos..."
Guilherme Boulos,"vi 1 minuto do video so boulos no canal da midia ninja

que vontade de matar gente"
Guilherme Boulos,"Pessoas pelas quais tenho indescritível antipatia:

Gleisi Hoffmann, Renan Calheiros, Jucá, Lindbergh, Eunicio, Fátima Bezerra, Rodrigo Maia, Presidiário, Vicentino, Mercadante, Jean Wyllys, Vanessa Grazziotin, Requião, Dilma Rousseff, 'Bessias', Paulinho da Força, Boulos..."
Guilherme Boulos,Boulos recebe título de professor honorário de universidade na Argentina com senador colombiano https://t.co/fjiYmUheVc
Guilherme Boulos,"Pessoas pelas quais tenho indescritível antipatia:

Gleisi Hoffmann, Renan Calheiros, Jucá, Lindbergh, Eunicio, Fátima Bezerra, Rodrigo Maia, Presidiário, Vicentino, Mercadante, Jean Wyllys, Vanessa Grazziotin, Requião, Dilma Rousseff, 'Bessias', Paulinho da Força, Boulos..."
